Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,CPU_Marque,CPU_Serie,CPU_Modele,CPU_Generation_Detectee,RAM_Type,RAM_Frequence,Stockage_SSD_GB,Stockage_HDD_GB,Stockage_NVMe,Stockage_Total_GB,Ecran_Taille,Ecran_Resolution_Width,Ecran_Resolution_Height,Ecran_Type,Ecran_Tactile,GPU_Marque,GPU_Serie,GPU_Modele,WiFi_Version,Bluetooth_Version,USB_Type,Batterie_Capacite,Batterie_Autonomie,Sentiment_BERT,Sentiment_Score_BERT,Keywords_TFIDF,Resume_Produit,Anomalie_Prix_ZScore,Anomalie_Prix_IQR,Type_Anomalie_Prix,Anomalie_ML,Anomalie_Score_ML,Anomalie_Score_Normalized,Incoherence_Spec_Prix,Severite_Incoherence,Produit_Suspect,Raisons_Suspicion,Indice_Confiance,Recommandation_Achat,Score_Fiabilite_Vendeur
"Lenovo PC PORTABLE Thinkpad V15 G2 IJL -ECRAN 15.6"" - Core INTEL-11ème Génération-RAM 8GB -256 SSD-AZERTY-GARANTIE 6 MOIS-Remis a Neuf/","2,389.00 Dhs","4,599.00 Dhs",48%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/639176/1.jpg?4632,Jumia,2026-01-28 17:12:14,2389.0,4599.0,48.05,,Lenovo,Autre,15.0,,8.0,Inconnu,Remis à neuf,66.7,Entrée de gamme,,,,11.0,,,,,False,,15.6,,,,False,,,,,,,,,Négatif,0.2,"256, ram 8gb, génération ram, ecran 15, g2","Lenovo | Processeur Autre | Écran 15.6"" | Remis à neuf | 2389 Dhs",False,False,Normal,False,-0.4033067520542199,0.8844945236026688,Cohérent,0,False,OK,90.0,À considérer,5.0
"Lenovo PC Portable ThinkPad L450 - 14"" - Intel Core i5 - 8GB RAM + 500GB HDD - Windows - AZERTY - Remis à neuf","1,699.00 Dhs","2,699.00 Dhs",37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/722946/1.jpg?5683,Jumia,2026-01-28 17:12:14,1699.0,2699.0,37.05,,Lenovo,i5,8.0,8.0,500.0,HDD,Remis à neuf,83.3,Entrée de gamme,,,,,,,,500.0,False,500.0,14.0,,,,False,,,,,,,,,Négatif,0.2,"500gb, azerty remis, windows, 8gb ram, hdd","Lenovo | Processeur i5 | 8GB RAM | 500GB HDD | Écran 14.0"" | Remis à neuf | 1699 Dhs",False,False,Normal,False,-0.407318693673793,0.874174234542257,Cohérent,0,False,OK,95.0,À considérer,5.0
Lenovo PC PORTABLE Thinkpad-L390 Core i5 RAM 16GB 512 SSD-8ème Génération-Remis a Neuf,"3,189.00 Dhs","4,699.00 Dhs",32%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/392566/1.jpg?4946,Jumia,2026-01-28 17:12:14,3189.0,4699.0,32.13,,Lenovo,i5,16.0,,16.0,Inconnu,Remis à neuf,66.7,Milieu de gamme,,,,8.0,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,"16gb, portable thinkpad, lenovo pc, thinkpad, lenovo",Lenovo | Processeur i5 | Remis à neuf | 3189 Dhs,False,False,Normal,False,-0.3812135368178977,0.9413269476839057,Cohérent,0,False,OK,90.0,À considérer,5.0
"Hp ProBook 640 - Intel Core i5 - 8Go RAM - 500Go HDD - 14"" - AZERTY - (Remis à Neuf)","1,989.00 Dhs","2,799.00 Dhs",29%,3.8 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/530606/1.jpg?6906,Jumia,2026-01-28 17:12:15,1989.0,2799.0,28.94,3.8,Hp,i5,8.0,,8.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,,,,,,,,500.0,False,500.0,14.0,,,,False,,,,,,,,,Négatif,0.4,"8go, 500go hdd, 500go, azerty remis, probook 640","Hp | Processeur i5 | 500GB Inconnu | Écran 14.0"" | Remis à neuf | 1989 Dhs",False,False,Normal,False,-0.3866101947194482,0.9274446246629432,Cohérent,0,False,OK,95.0,À considérer,5.0
Lenovo PC PORTABLE Thinkpad T470 Core i5 -RAM 8GB -256 SSD -6ème Gén -Remis a Neuf/,"3,889.00 Dhs","3,999.00 Dhs",3%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/938926/1.jpg?0367,Jumia,2026-01-28 17:12:23,3889.0,3999.0,2.75,,Lenovo,i5,8.0,,8.0,Inconnu,Remis à neuf,66.7,Milieu de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Neutre,0.6,"256, ram 8gb, 6ème, portable thinkpad, thinkpad",Lenovo | Processeur i5 | Remis à neuf | 3889 Dhs,False,False,Normal,False,-0.4048019858944565,0.880648195089595,Cohérent,0,False,OK,90.0,À considérer,5.0
Hp PC Portable ELITEBOOK X360 G3 I5-8éme -8GB- 512GB SSD - TACTILE -REMIS À NEUF/,"3,689.00 Dhs","6,299.00 Dhs",41%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/849656/1.jpg?4807,Jumia,2026-01-28 17:12:23,3689.0,6299.0,41.44,,Hp,i5,360.0,,512.0,SSD,Remis à neuf,66.7,Milieu de gamme,,,,,,,512.0,,False,512.0,,,,,True,,,,,,,,,Négatif,0.4,"ssd tactile, g3, elitebook x360, tactile remis, 512gb ssd",Hp | Processeur i5 | 512GB SSD | Remis à neuf | 3689 Dhs,False,False,Normal,False,-0.4248697063006917,0.8290261389845233,Cohérent,0,False,OK,90.0,À considérer,5.0
"Hp 250 G9 Pc portable Intel® Core™ i3-1215U - 4Go - 256Go SSD - FreeDOS - 15.6"" - AZERTY","3,999.00 Dhs","5,090.00 Dhs",21%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/894856/1.jpg?6265,Jumia,2026-01-28 17:12:23,3999.0,5090.0,21.43,,Hp,i3,250.0,,4.0,Inconnu,Non spécifié,66.7,Entrée de gamme,,,,,,,256.0,,False,256.0,15.6,,,,False,,,,,,,,,Positif,1.0,"256go ssd, 256go, core i3, i3, 15","Hp | Processeur i3 | 256GB Inconnu | Écran 15.6"" | 3999 Dhs",False,False,Normal,False,-0.4182984777681635,0.8459299188418518,Cohérent,0,False,OK,90.0,À considérer,5.0
"Hp PC Portable Probook 640 Core i3 -500Gb-RAM 8GB-14""-Garantie 6 mois- remis a neuf - AZERTY","1,989.00 Dhs","2,799.00 Dhs",29%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/359566/1.jpg?4472,Jumia,2026-01-28 17:12:23,1989.0,2799.0,28.94,,Hp,i3,500.0,,500.0,Inconnu,Remis à neuf,66.7,Entrée de gamme,,,,,,,,,False,,14.0,,,,False,,,,,,,,,Négatif,0.2,"ram 8gb, 500gb, neuf azerty, core i3, i3","Hp | Processeur i3 | Écran 14.0"" | Remis à neuf | 1989 Dhs",False,False,Normal,False,-0.43311097099286766,0.8078263704156892,Cohérent,0,False,OK,90.0,À considérer,5.0
Lenovo PC PORTABLE - Thinkpad-L440- Core intel celeron- RAM 8GB - 250 HDD -Garantie six mois-Remis a Neuf,"1,789.00 Dhs","1,999.00 Dhs",11%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/982566/1.jpg?6751,Jumia,2026-01-28 17:12:23,1789.0,1999.0,10.51,5.0,Lenovo,Celeron,8.0,,8.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Négatif,0.2,"ram 8gb, mois remis, garantie mois, mois, garantie",Lenovo | Processeur Celeron | Remis à neuf | 1789 Dhs,False,False,Normal,False,-0.4123814846019714,0.8611507484635157,Cohérent,0,False,OK,95.0,À considérer,5.0
Hp PC Portable ELITEBOOK 840 G7 -10810U -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD - À NEUF/,"3,789.00 Dhs","5,999.00 Dhs",37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/834856/1.jpg?9309,Jumia,2026-01-28 17:12:23,3789.0,5999.0,36.84,,Hp,i5,840.0,,256.0,SSD,Neuf,66.7,Milieu de gamme,,,,,,,256.0,,False,256.0,,,,,False,,,,,,,,,Positif,1.0,"8gb 256gb, i5 10éme, ssd fhd, g7, elitebook 840",Hp | Processeur i5 | 256GB SSD | Neuf | 3789 Dhs,False,False,Normal,False,-0.4359215237471788,0.8005965252199073,Cohérent,0,False,OK,90.0,À considérer,5.0
