Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme
Lenovo PC PORTABLE Thinkpad-L460 Core i5 RAM 16GB 512 SSD-6ème Génération-Remis a Neuf,"2,699.00 Dhs","4,299.00 Dhs",37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/152956/1.jpg?4665,Jumia,2026-01-28 01:00:07,2699.0,4299.0,37.22,,Lenovo,i5,16.0,,16.0,Inconnu,Remis à neuf,66.7,Milieu de gamme
"Lenovo PC Portable ThinkPad L460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,499.00 Dhs","4,999.00 Dhs",30%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/332656/1.jpg?1969,Jumia,2026-01-28 01:00:07,3499.0,4999.0,30.01,5.0,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 500GB HDD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,199.00 Dhs",6%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/859795/1.jpg?2047,Jumia,2026-01-28 01:00:07,2999.0,3199.0,6.25,3.3,Lenovo,i5,8.0,8.0,500.0,HDD,Remis à neuf,100.0,Milieu de gamme
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 256GB SSD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,599.00 Dhs",17%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/959795/1.jpg?2169,Jumia,2026-01-28 01:00:07,2999.0,3599.0,16.67,3.5,Lenovo,i5,8.0,8.0,256.0,SSD,Remis à neuf,100.0,Milieu de gamme
"Lenovo PC Portable ThinkPad T460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,599.00 Dhs","4,999.00 Dhs",28%,3.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/759795/1.jpg?3821,Jumia,2026-01-28 01:00:07,3599.0,4999.0,28.01,3.6,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme
"Lenovo PC Portable V15 G4 IAH - 15,6"" FHD, Intel Core i5-12500H, 16 Go RAM, 512 Go SSD, QWERTY Espagnol, Windows 11","6,500.00 Dhs","8,645.00 Dhs",25%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/555066/1.jpg?9945,Jumia,2026-01-28 01:00:07,6500.0,8645.0,24.81,,Lenovo,i5,15.0,,16.0,Inconnu,Non spécifié,66.7,Haut de gamme
"Table de lit pour Ordinateur Portable, Table de lit et canapé, Plateau de Petit-déjeuner, Pliant",129.00 Dhs,250.00 Dhs,48%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/914006/1.jpg?2694,Jumia,2026-01-28 01:00:07,129.0,250.0,48.4,4.5,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme
Handboss Bouteille 650ml Nettoyage Mousse universelle Agent spray PC Surface Cleaner,48.00 Dhs,75.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/383315/1.jpg?8558,Jumia,2026-01-28 01:00:07,48.0,75.0,36.0,4.3,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme
Table Pliante Polyvalente pour Ordinateur Portable – Bureau de Lit en Bois MDF avec Fente pour Tablette et Porte-Gobelet,109.99 Dhs,150.00 Dhs,27%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/746276/1.jpg?0163,Jumia,2026-01-28 01:00:07,109.99,150.0,26.67,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme
V8S Audio USB carte son externe mélangeur de son en direct divertissement personnel Streamer diffusion en direct pour PC téléphone ordinateur,170.00 Dhs,300.00 Dhs,43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/983566/1.jpg?8732,Jumia,2026-01-28 01:00:08,170.0,300.0,43.33,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme
