Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,Performance_Index,Score_Qualite,RQP_Score,Est_Bonne_Affaire,Type_Affaire,Anomalie_Prix,Type_Anomalie,Sentiment_Score,Sentiment_Label,Tags
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,999.00 Dhs","3,299.00 Dhs",39%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/108176/1.jpg?9241,Jumia,2026-01-28 17:12:02,1999.0,3299.0,39.41,5.0,Hp,i3,3.0,8.0,256.0,SSD,Remis à neuf,100.0,Entrée de gamme,47.0,72.8,36.42,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf, SSD, Promotion"
Pc Portable HP EliteBook 840 G8 Tactile I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,890.00 Dhs","4,990.00 Dhs",22%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/250476/1.jpg?3449,Jumia,2026-01-28 17:12:02,3890.0,4990.0,22.04,,Hp,i5,840.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,49.0,37.7,9.69,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, SSD"
Lenovo PC portable Thinkpad-L440 Core i5 RAM 8GB 500 HDD 6ème Génération Remis à Neuf,"1,789.00 Dhs","3,299.00 Dhs",46%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/426956/1.jpg?3307,Jumia,2026-01-28 17:12:02,1789.0,3299.0,45.77,,Lenovo,i5,8.0,,8.0,Inconnu,Remis à neuf,66.7,Entrée de gamme,31.0,31.7,17.72,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Lenovo, Remis à neuf, Promotion"
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,499.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/697376/1.jpg?7101,Jumia,2026-01-28 17:12:02,2099.0,3499.0,40.01,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme,59.0,45.1,21.49,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Performance correcte, Remis à neuf, SSD, Promotion"
"DELL Pc Portable Latitude 7420 Intel Core I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD Ecran IPS 14""QWERTY - REMIS A NEUF","3,690.00 Dhs","3,990.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/566376/1.jpg?3857,Jumia,2026-01-28 17:12:02,3690.0,3990.0,7.52,,Dell,i5,1145.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,49.0,37.0,10.03,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Dell, Remis à neuf, SSD"
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,299.00 Dhs",36%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/697376/1.jpg?0061,Jumia,2026-01-28 17:12:02,2099.0,3299.0,36.37,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme,59.0,44.9,21.39,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Performance correcte, Remis à neuf, SSD, Promotion"
Acer Pc Portable Aspire Go 15 - i5-13420 / 16Go / 512Go Windows 11 (NX.J4GEF.00A),"6,490.00 Dhs","7,200.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/180376/1.jpg?1263,Jumia,2026-01-28 17:12:02,6490.0,7200.0,9.86,,Acer,i5,16.0,,16.0,Inconnu,Non spécifié,66.7,Haut de gamme,34.0,26.1,4.02,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Acer, Non spécifié"
XIAOMI Monitor A22I (Black),699.00 Dhs,899.00 Dhs,22%,4.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/034646/1.jpg?2339,Jumia,2026-01-28 17:12:03,699.0,899.0,22.25,4.6,Xiaomi,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,40.7,58.23,False,Standard,False,Normal,-0.167,Neutre,"Entrée de gamme, Xiaomi, Non spécifié"
Asus ORDINATEUR PORTABLE,"4,500.00 Dhs","4,900.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/118756/1.jpg?6117,Jumia,2026-01-28 17:12:03,4500.0,4900.0,8.16,,Asus,Autre,,,,,Non spécifié,50.0,Milieu de gamme,0.0,9.9,2.2,False,Standard,True,Prix suspect (trop élevé),0.0,Neutre,"Milieu de gamme, Asus, Non spécifié"
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - Remis a neuf,"4,280.00 Dhs","7,000.00 Dhs",39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/748376/1.jpg?9594,Jumia,2026-01-28 17:12:03,4280.0,7000.0,38.86,,Hp,Ryzen 7,435.0,,512.0,SSD,Remis à neuf,66.7,Haut de gamme,64.0,44.5,10.4,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Remis à neuf, SSD, Promotion"
Asus ORDINATEUR PORTABLE,"3,490.00 Dhs","3,900.00 Dhs",11%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/018756/1.jpg?5245,Jumia,2026-01-28 17:12:03,3490.0,3900.0,10.51,,Asus,Autre,,,,,Non spécifié,50.0,Milieu de gamme,0.0,10.0,2.87,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Asus, Non spécifié"
Hp Ordinateur portable 15 N100 4GB 256SSD W11H GRAY,"3,990.00 Dhs","4,800.00 Dhs",17%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/442756/1.jpg?1445,Jumia,2026-01-28 17:12:03,3990.0,4800.0,16.88,,Hp,Autre,4.0,,4.0,Inconnu,Non spécifié,66.7,Milieu de gamme,2.0,13.6,3.41,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Non spécifié"
"DELL Ordinateur portable Latitude E7270 - 12,5 pouces - Processeur Intel Core i5 de 6e génération - 8 Go de RAM - SSD de 256 Go - (Occasion en bon état)","1,749.00 Dhs","2,299.00 Dhs",24%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/320576/1.jpg?6623,Jumia,2026-01-28 17:12:03,1749.0,2299.0,23.92,,Dell,i5,6.0,,8.0,Inconnu,Occasion,66.7,Entrée de gamme,28.0,26.4,15.09,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Dell, Occasion"
Asus PC Portable 90NB10J2-M00N90,"6,400.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/712376/1.jpg?2536,Jumia,2026-01-28 17:12:03,6400.0,,0.0,,Asus,Autre,,,,,Non spécifié,50.0,Haut de gamme,0.0,9.5,1.48,False,Standard,True,Prix suspect (trop élevé),0.0,Neutre,"Haut de gamme, Asus, Non spécifié"
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 500Go HDD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,959.00 Dhs","2,999.00 Dhs",35%,3.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/008176/1.jpg?4419,Jumia,2026-01-28 17:12:03,1959.0,2999.0,34.68,3.7,Hp,i3,3.0,8.0,500.0,Inconnu,Remis à neuf,100.0,Entrée de gamme,42.0,62.7,32.01,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf, Promotion"
Lenovo Ordinateur portable ThinkPad E14 Gen 5 I7 13 EME GEN / 16 GB / 512 SSD / NEUF SANS EMBALLAGE,"8,500.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/219366/1.jpg?0569,Jumia,2026-01-28 17:12:03,8500.0,,0.0,,Lenovo,i7,14.0,,16.0,Inconnu,Neuf,66.7,Haut de gamme,44.0,37.6,4.42,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Lenovo, Neuf"
"Hp ProBook 640 - Intel Core i3 (6ème Gen) - 8Go RAM - 320Go HDD - 14"" - AZERTY - (Remis à Neuf)","1,899.00 Dhs","4,499.00 Dhs",58%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/986316/1.jpg?1124,Jumia,2026-01-28 17:12:03,1899.0,4499.0,57.79,3.5,Hp,i3,6.0,,8.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,18.0,50.6,26.65,True,Promotion intéressante,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf, Bonne affaire, Promotion"
Lenovo PC PORTABLE LENOVO THINKPAD T540P-I5-8G-256Go SSD-FULL HD-REMIS A NEUF,"2,189.00 Dhs","3,099.00 Dhs",29%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/775685/1.jpg?0365,Jumia,2026-01-28 17:12:03,2189.0,3099.0,29.36,5.0,Lenovo,i5,8.0,,256.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,41.0,67.4,30.79,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Lenovo, Remis à neuf"
"Hp EliteBook X360 G3 - Intel Core i5 - 8Go RAM - 512Go SSD - 13.3"" Tactile - (Remis à Neuf)","3,489.00 Dhs","9,999.00 Dhs",65%,4.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/824916/1.jpg?4684,Jumia,2026-01-28 17:12:03,3489.0,9999.0,65.11,4.4,Hp,i5,360.0,,8.0,Inconnu,Remis à neuf,83.3,Milieu de gamme,34.0,62.8,18.0,True,Promotion intéressante,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, Bonne affaire, Promotion"
Hp PC Portable ELITEBOOK 840 G7 -10810U- 10EME GENERATION -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD - À NEUF/,"3,589.00 Dhs","5,299.00 Dhs",32%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/151166/1.jpg?2019,Jumia,2026-01-28 17:12:04,3589.0,5299.0,32.27,5.0,Hp,i5,840.0,,256.0,SSD,Neuf,83.3,Milieu de gamme,49.0,73.7,20.53,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Neuf, SSD, Promotion"
Hp PC Portable ELITEBOOK X360 G3 I5-8éme -16GB- 512GB SSD - TACTILE - REMIS À NEUF,"3,889.00 Dhs","6,999.00 Dhs",44%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/591536/1.jpg?2246,Jumia,2026-01-28 17:12:04,3889.0,6999.0,44.43,5.0,Hp,i5,360.0,,512.0,SSD,Remis à neuf,83.3,Milieu de gamme,54.0,73.3,18.85,True,Promotion intéressante,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Performance correcte, Remis à neuf, SSD, Bonne affaire, Promotion"
"DELL PC GAMER Optiplex 3020 MT Intel Core i5- 4th Gen - RAM 16Go, 500Go HDD, 256Go SSD, RADEON R5 430 2Go (Remis à Neuf)","1,399.00 Dhs","1,950.00 Dhs",28%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/937376/1.jpg?3929,Jumia,2026-01-28 17:12:04,1399.0,1950.0,28.26,3.5,Dell,i5,16.0,,16.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,34.0,55.5,39.67,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Dell, Remis à neuf"
"Hp Ordinateur portable ProBook 450 G10 Intel® Core™ i5-1335U 8 Go 256 Go SSD 15,6 pouces FHD - AZERTY","8,100.00 Dhs","8,300.00 Dhs",2%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/139956/1.jpg?7065,Jumia,2026-01-28 17:12:04,8100.0,8300.0,2.41,,Hp,i5,450.0,,8.0,Inconnu,Non spécifié,66.7,Haut de gamme,34.0,25.7,3.17,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Non spécifié"
"Hp PC Portable EliteBook X360 G2 - 14"" - Intel Core i5 7ème Génération - 8GB RAM + 256GB SSD - Windows - Tactile - Remis à neuf","3,599.00 Dhs","8,899.00 Dhs",60%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/153575/1.jpg?2179,Jumia,2026-01-28 17:12:04,3599.0,8899.0,59.56,3.0,Hp,i5,360.0,8.0,256.0,SSD,Remis à neuf,100.0,Milieu de gamme,67.0,69.8,19.39,True,Promotion intéressante,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Performance correcte, Remis à neuf, SSD, Bonne affaire, Promotion"
Hp Ordinateur portable Pavilion x360 2-en-1 14-ek1001nk i5-1335U 8 Go 512SSD Windows 11,"9,200.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/475176/1.jpg?3743,Jumia,2026-01-28 17:12:04,9200.0,,0.0,,Hp,i5,8.0,,8.0,Inconnu,Non spécifié,66.7,Haut de gamme,31.0,24.4,2.65,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Non spécifié"
Hp Ordinateur Portable 250 G9 – i3 (778N7ES),"4,610.00 Dhs","5,500.00 Dhs",16%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/127966/1.jpg?5745,Jumia,2026-01-28 17:12:04,4610.0,5500.0,16.18,,Hp,i3,250.0,,,,Non spécifié,50.0,Entrée de gamme,24.0,19.9,4.32,False,Standard,True,Prix suspect (trop élevé),0.0,Neutre,"Entrée de gamme, Hp, Non spécifié"
"Hp PC Portable HP Probook 640 Core i5 4eme 320Gb 8GB RAM 14""- remis a neuf","1,989.00 Dhs","2,999.00 Dhs",34%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/673026/1.jpg?5488,Jumia,2026-01-28 17:12:12,1989.0,2999.0,33.68,4.0,Hp,i5,320.0,8.0,320.0,Inconnu,Remis à neuf,100.0,Entrée de gamme,62.0,72.5,36.45,True,Bonne affaire,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Performance correcte, Remis à neuf, Bonne affaire, Promotion"
Lenovo Ordinateur portable-i5 1245u-16GB-256G SSD-Win10Pro-Azerty-Garantie 24 Mois,"13,960.00 Dhs","15,000.00 Dhs",7%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/592056/1.jpg?6025,Jumia,2026-01-28 17:12:12,13960.0,15000.0,6.93,,Lenovo,i5,16.0,,256.0,SSD,Non spécifié,66.7,Haut de gamme,49.0,32.0,2.29,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Lenovo, Non spécifié, SSD"
Lenovo PC PORTABLE THINKPAD L570P-I5-6TH GENERATION-8G-256Go SSD-AZERTY-REMIS A NEUF,"1,989.00 Dhs","4,599.00 Dhs",57%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/476846/1.jpg?8806,Jumia,2026-01-28 17:12:12,1989.0,4599.0,56.75,4.0,Lenovo,i5,8.0,,256.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,41.0,62.7,31.52,True,Promotion intéressante,False,Normal,0.0,Neutre,"Entrée de gamme, Lenovo, Remis à neuf, Bonne affaire, Promotion"
"Pc Portable HP EliteBook 830 G7 I5-10310U 10ème Génération RAM 16Go DDR4 256Gb SSD Ecran 13.3""Tactile -QWERTZ Germany - REMIS A NEUF","3,590.00 Dhs","4,990.00 Dhs",28%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/776966/1.jpg?5506,Jumia,2026-01-28 17:12:12,3590.0,4990.0,28.06,,Hp,i5,830.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,49.0,38.0,10.58,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, SSD"
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - REMIS A NEUF,"4,490.00 Dhs","4,990.00 Dhs",10%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/896966/1.jpg?0744,Jumia,2026-01-28 17:12:12,4490.0,4990.0,10.02,5.0,Hp,Ryzen 7,435.0,,512.0,SSD,Remis à neuf,83.3,Haut de gamme,64.0,75.6,16.84,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Remis à neuf, SSD"
Hp PC Portable ELITEBOOK X360 G2 I5-7éme -16GB- 256GB SSD - TACTILE -REMIS À NEUF/,"3,588.00 Dhs","5,999.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/307416/1.jpg?5344,Jumia,2026-01-28 17:12:13,3588.0,5999.0,40.19,,Hp,i5,360.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,49.0,38.6,10.76,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, SSD, Promotion"
"Hp PC Portable Probook 640 Core intel i5-500Go-RAM 8GB 14""- remis a neuf","1,989.00 Dhs","2,799.00 Dhs",29%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/504926/1.jpg?2483,Jumia,2026-01-28 17:12:13,1989.0,2799.0,28.94,3.0,Hp,i5,500.0,,500.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,44.0,56.5,28.41,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf"
Hp PC Portable ELITEBOOK X360 G3 I7-8éme -16GB- 256GB SSD-TACTILE-AZERTY-REMIS À NEUF,"4,899.00 Dhs","6,999.00 Dhs",30%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/991746/1.jpg?3229,Jumia,2026-01-28 17:12:13,4899.0,6999.0,30.0,5.0,Hp,i7,360.0,,256.0,SSD,Remis à neuf,83.3,Haut de gamme,59.0,74.6,15.23,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Remis à neuf, SSD, Promotion"
"Mini aspirateur de voiture automatique et souffleur d'air sans fil pour voiture, Aspirateur Trois En Un",114.00 Dhs,139.99 Dhs,19%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/274846/1.jpg?7043,Jumia,2026-01-28 17:12:13,114.0,139.99,18.57,4.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,36.9,323.68,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié"
Hp PC Portable ELITEBOOK X360 G2 I5-7éme -8GB- 256GB SSD - TACTILE -REMIS À NEUF/,"3,399.00 Dhs","5,999.00 Dhs",43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/307416/1.jpg?5225,Jumia,2026-01-28 17:12:13,3399.0,5999.0,43.34,5.0,Hp,i5,360.0,,256.0,SSD,Remis à neuf,83.3,Milieu de gamme,49.0,71.3,20.98,True,Promotion intéressante,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, SSD, Bonne affaire, Promotion"
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 500Go HDD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,989.00 Dhs","2,999.00 Dhs",34%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/428176/1.jpg?5604,Jumia,2026-01-28 17:12:13,1989.0,2999.0,33.68,,Hp,i3,3.0,8.0,500.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,42.0,38.0,19.11,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf, Promotion"
DELL Ordinateur Portable Latitude 5480 Core i5-7200U 14'' 8GB 256GB - Remis à neuf,"3,899.00 Dhs","4,500.00 Dhs",13%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/748475/1.jpg?6205,Jumia,2026-01-28 17:12:13,3899.0,4500.0,13.36,,Dell,i5,8.0,,8.0,Inconnu,Remis à neuf,66.7,Milieu de gamme,31.0,30.1,7.72,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Dell, Remis à neuf"
Lenovo PC PORTABLE Thinkpad-T470 Core i5 RAM 16GB 512 SSD-6ème Génération-Remis a Neuf,"3,589.00 Dhs","4,999.00 Dhs",28%,2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/966026/1.jpg?7612,Jumia,2026-01-28 17:12:13,3589.0,4999.0,28.21,2.0,Lenovo,i5,16.0,,16.0,Inconnu,Remis à neuf,83.3,Milieu de gamme,34.0,46.5,12.96,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Lenovo, Remis à neuf"
Hp PC Portable ELITEBOOK 840 G8 - INTEL CORE I7-11ème GÉNÉRATION - 32GB - 512GB SSD - FHD - À NEUF,"6,289.00 Dhs","7,999.00 Dhs",21%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/276276/1.jpg?0162,Jumia,2026-01-28 17:12:13,6289.0,7999.0,21.38,,Hp,i7,840.0,,512.0,SSD,Neuf,66.7,Haut de gamme,64.0,46.7,7.43,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Neuf, SSD"
"Lenovo Pc Portable IdeaPad Slim 3 15,6'' AMD Ryzen 5-7520U 16Go 512Go","6,500.00 Dhs","6,900.00 Dhs",6%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/093576/1.jpg?7735,Jumia,2026-01-28 17:12:13,6500.0,6900.0,5.8,,Lenovo,Ryzen 5,16.0,,16.0,Inconnu,Non spécifié,66.7,Haut de gamme,34.0,25.9,3.98,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Lenovo, Non spécifié"
Pc Portable EliteBook 830 G6 I7-8665U 8éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,490.00 Dhs","4,490.00 Dhs",22%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/656066/1.jpg?3710,Jumia,2026-01-28 17:12:13,3490.0,4490.0,22.27,5.0,Autre,i7,830.0,,256.0,SSD,Remis à neuf,83.3,Haut de gamme,59.0,74.2,21.26,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Performance correcte, Remis à neuf, SSD"
"Hp ProBook 640 - Intel Core i5 - 8Go RAM - 500Go HDD - 14"" - (Remis à Neuf)","1,989.00 Dhs","4,199.00 Dhs",53%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/873046/1.jpg?7903,Jumia,2026-01-28 17:12:13,1989.0,4199.0,52.63,3.0,Hp,i5,8.0,,8.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,31.0,52.5,26.4,True,Promotion intéressante,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Remis à neuf, Bonne affaire, Promotion"
"Hp Ordinateur Probook 640 G1 14"" Core i5-4Th 8GB 500Go HDD [REMIS A NEUF]","3,900.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/408794/1.jpg?4666,Jumia,2026-01-28 17:12:13,3900.0,,0.0,,Hp,i5,640.0,,8.0,Inconnu,Remis à neuf,66.7,Milieu de gamme,34.0,30.6,7.85,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf"
Hp PC Portable ELITEBOOK X360 G7-1040 -10810U -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD Rotation Tactile- À NEUF/,"3,789.00 Dhs","8,599.00 Dhs",56%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/703956/1.jpg?6985,Jumia,2026-01-28 17:12:13,3789.0,8599.0,55.94,,Hp,i5,360.0,,256.0,SSD,Neuf,66.7,Milieu de gamme,49.0,42.4,11.19,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Neuf, SSD, Promotion"
"Hp PC Portable Probook 640 Core i5 8eme 500Gb 4GB RAM 14""- remis a neuf","1,989.00 Dhs","2,499.00 Dhs",20%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/004806/1.jpg?9008,Jumia,2026-01-28 17:12:14,1989.0,2499.0,20.41,,Hp,i5,500.0,4.0,500.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,54.0,42.1,21.17,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Performance correcte, Remis à neuf"
Pc Portable HP EliteBook 840 G8 I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,590.00 Dhs","3,990.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/636566/1.jpg?9815,Jumia,2026-01-28 17:12:14,3590.0,3990.0,10.03,,Hp,i5,840.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,49.0,37.1,10.33,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Hp, Remis à neuf, SSD"
DELL PC Portable ELITEBOOK 840 G7 -10810U -INTEL CORE I5-10éme -16GB- 256GB SSD- FHD - À NEUF/,"3,789.00 Dhs","5,699.00 Dhs",34%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/663566/1.jpg?7883,Jumia,2026-01-28 17:12:14,3789.0,5699.0,33.51,,Dell,i5,840.0,,256.0,SSD,Neuf,66.7,Milieu de gamme,49.0,41.3,10.9,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Dell, Neuf, SSD, Promotion"
"Hp PC Portable Probook 640 Core i3 4eme 500Gb 8GB RAM 14""- remis a neuf","1,999.00 Dhs","3,299.00 Dhs",39%,3.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/365536/1.jpg?4563,Jumia,2026-01-28 17:12:14,1999.0,3299.0,39.41,3.6,Hp,i3,500.0,8.0,500.0,Inconnu,Remis à neuf,100.0,Entrée de gamme,52.0,66.4,33.22,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Hp, Performance correcte, Remis à neuf, Promotion"
