Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,Performance_Index,Score_Qualite,RQP_Score,Est_Bonne_Affaire,Type_Affaire,Anomalie_Prix,Type_Anomalie,Sentiment_Score,Sentiment_Label,Tags
Hp PC Portable ELITEBOOK X360 G2 I7-7éme -16GB- 512GB SSD - TACTILE -REMIS À NEUF,"4,999.00 Dhs","8,899.00 Dhs",44%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/395174/1.jpg?9621,Jumia,2026-01-28 17:12:23,4999.0,8899.0,43.83,,Hp,i7,360.0,,512.0,SSD,Remis à neuf,66.7,Haut de gamme,64.0,44.8,8.96,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Remis à neuf, SSD, Promotion"
"Lenovo PC Portable ThinkPad L460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,499.00 Dhs","4,999.00 Dhs",30%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/332656/1.jpg?1969,Jumia,2026-01-28 17:12:23,3499.0,4999.0,30.01,5.0,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme,73.0,82.7,23.64,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Lenovo, Performance correcte, Remis à neuf, SSD, Promotion"
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 500GB HDD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,199.00 Dhs",6%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/859795/1.jpg?2047,Jumia,2026-01-28 17:12:24,2999.0,3199.0,6.25,3.3,Lenovo,i5,8.0,8.0,500.0,HDD,Remis à neuf,100.0,Milieu de gamme,59.0,65.7,21.91,False,Standard,False,Normal,0.35,Positif,"Milieu de gamme, Lenovo, Performance correcte, Remis à neuf"
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 256GB SSD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,599.00 Dhs",17%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/959795/1.jpg?2169,Jumia,2026-01-28 17:12:24,2999.0,3599.0,16.67,3.5,Lenovo,i5,8.0,8.0,256.0,SSD,Remis à neuf,100.0,Milieu de gamme,64.0,69.4,23.14,False,Standard,False,Normal,0.35,Positif,"Milieu de gamme, Lenovo, Performance correcte, Remis à neuf, SSD"
"Lenovo PC Portable ThinkPad T460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,599.00 Dhs","4,999.00 Dhs",28%,3.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/759795/1.jpg?3821,Jumia,2026-01-28 17:12:24,3599.0,4999.0,28.01,3.6,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme,73.0,74.2,20.62,False,Standard,False,Normal,0.0,Neutre,"Haut de gamme, Lenovo, Performance correcte, Remis à neuf, SSD"
"Table de lit pour Ordinateur Portable, Table de lit et canapé, Plateau de Petit-déjeuner, Pliant",129.00 Dhs,250.00 Dhs,48%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/914006/1.jpg?2694,Jumia,2026-01-28 17:12:24,129.0,250.0,48.4,4.5,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,41.4,320.93,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Handboss Bouteille 650ml Nettoyage Mousse universelle Agent spray PC Surface Cleaner,48.00 Dhs,75.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/383315/1.jpg?8558,Jumia,2026-01-28 17:12:25,48.0,75.0,36.0,4.3,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,39.6,825.0,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Table Pliante Polyvalente pour Ordinateur Portable – Bureau de Lit en Bois MDF avec Fente pour Tablette et Porte-Gobelet,109.99 Dhs,150.00 Dhs,27%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/746276/1.jpg?0163,Jumia,2026-01-28 17:12:25,109.99,150.0,26.67,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,10.8,98.19,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié"
V8S Audio USB carte son externe mélangeur de son en direct divertissement personnel Streamer diffusion en direct pour PC téléphone ordinateur,170.00 Dhs,300.00 Dhs,43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/983566/1.jpg?8732,Jumia,2026-01-28 17:12:25,170.0,300.0,43.33,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,44.2,260.0,False,Standard,False,Normal,0.1,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Hp PC GAMER i5 6éme Gén - 16GB RAM - 256GB SSD / 500GB HDD - RADEON R5 430 2GB - remis à neuf,"1,649.00 Dhs","1,950.00 Dhs",15%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/773376/1.jpg?4824,Jumia,2026-01-28 17:12:25,1649.0,1950.0,15.44,5.0,Hp,i5,16.0,16.0,256.0,SSD,Remis à neuf,100.0,Haut de gamme,74.0,82.4,49.97,True,Bonne affaire,True,Incohérence gamme/prix,0.0,Neutre,"Haut de gamme, Hp, Performance correcte, Remis à neuf, SSD, Bonne affaire"
