Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte
"Sac de Pc ,cartable pour voyage ,camping .sac a dos pour affaire, scolaire",377.00 Dhs,519.00 Dhs,27%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/806626/1.jpg?3746,Jumia,2026-01-28 17:12:46
Souris sans fil double Mode de connexion Bluetooth et 2.4G Portable et silencieux DPI réglable 600mAh Rechargeable RGB lumineuse Micro USB souris portables pour tablette téléphone ordinateur PC portable IPad tablette Smart TV Blanc,99.00 Dhs,199.00 Dhs,50%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/087176/1.jpg?4181,Jumia,2026-01-28 17:12:46
"Présentateur sans fil, pointeur de présentation, changeur de diapositives, télécommande, stylo, contrôleur PPT avec clip, 2,4 GHz, pour ordinateur portable et fenêtre",121.00 Dhs,295.00 Dhs,59%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/308366/1.jpg?2699,Jumia,2026-01-28 17:12:46
Souris sans fil Double connexion Bluetooth et 2.4GHz silencieuse 1600 DPI Réglable optique pour ordinateur portable PC Mac + 1 pile inclus,63.00 Dhs,130.00 Dhs,52%,3.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/964166/1.jpg?7406,Jumia,2026-01-28 17:12:46
"Msi PC Gamer Ryzen 5 5600G 3.9Ghz/ 32Go DDR4/ 1 TERA Nvme/ GPU RADEON VEGA 7 MONITEUR 24"" 200HZ-NEUF","7,590.00 Dhs","7,990.00 Dhs",5%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/973476/1.jpg?0598,Jumia,2026-01-28 17:12:46
Adaptateur USB Type-C To HDMI 4K pour PC Ordinateur Téléphone affichage Tv,89.00 Dhs,150.00 Dhs,41%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/510756/1.jpg?8305,Jumia,2026-01-28 17:12:46
"DELL PC bureau OptiPlex 3020 SFF PEINTUM-RAM 4Go-HDD 500Go-avec écran 19"" (Remis à neuf)","1,089.00 Dhs","1,899.00 Dhs",43%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/674656/1.jpg?0354,Jumia,2026-01-28 17:12:46
"Sacoche case pour ordinateur ,Housse pour ordinateur portable laptop 16 pouce",199.00 Dhs,219.00 Dhs,9%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/579226/1.jpg?4351,Jumia,2026-01-28 17:12:46
"Mini aspirateur de voiture automatique et souffleur d'air sans fil pour voiture, Aspirateur Trois En Un",114.00 Dhs,179.00 Dhs,36%,3.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/523246/1.jpg?8247,Jumia,2026-01-28 17:12:46
General Cadena Pc Portable - Antivol à code pour ordinateur portable,109.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/289023/1.jpg?9305,Jumia,2026-01-28 17:12:46
"Cable Imprimante USB 3.0 A-Mâle vers B-Mâle,Ordinateur, Serveur, Imprimante-Noir",100.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/379835/1.jpg?7271,Jumia,2026-01-28 17:12:46
"Sac à dos étanche pour homme et femme, Pour école, ordinateur et voyage",119.00 Dhs,198.00 Dhs,40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/686966/1.jpg?7107,Jumia,2026-01-28 17:12:46
"Lampe de bureau LED, pour ordinateur, bureau, rechargeable USB, soin des yeux, contrôle tactile",119.00 Dhs,149.00 Dhs,20%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/821646/1.jpg?1388,Jumia,2026-01-28 17:12:46
"Onikuma Casque Gaming d'ordinateur stéréo filaire USB + Jack 3,5 mm avec Haut-Parleurs 50mm, Éclairage RGB,avec micro à lumière LED Cache-oreilles à mémoire souple Accessoires de jeu X31",179.00 Dhs,299.00 Dhs,40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/049276/1.jpg?0029,Jumia,2026-01-28 17:12:46
Imice Souris de jeu 3200 DPI USB LED optique filaire pour ordinateur portable PC Gamer version amélioré,93.00 Dhs,179.00 Dhs,48%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/842575/1.jpg?5545,Jumia,2026-01-28 17:12:47
"Ordinateur éducatif pour enfants – Tablette d’enseignement Français-Arabe, jeux de logique et de calcul",95.00 Dhs,150.00 Dhs,37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/476276/1.jpg?0833,Jumia,2026-01-28 17:12:47
Table pour l’écran Ordinateur bureaux,149.00 Dhs,239.00 Dhs,38%,4.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/075806/1.jpg?4315,Jumia,2026-01-28 17:12:47
"Imprimante thermique portable sans fil Bluetooth pour ordinateur portable Android et iOS, papier A4, imprimante photo de poche, imprimante de documents, 1000mAh",989.00 Dhs,"2,299.00 Dhs",57%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/144856/1.jpg?9785,Jumia,2026-01-28 17:12:47
"Sacoche case pour ordinateur ,Housse pour ordinateur portable laptop 15 pouce",189.00 Dhs,199.00 Dhs,5%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/579226/1.jpg?4351,Jumia,2026-01-28 17:12:47
Lenovo PC PORTABLE THINKPAD L570P-I5-6TH GENERATION-8G-256Go SSD-AZERTY-REMIS A NEUF,"1,950.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/041476/1.jpg?2665,Jumia,2026-01-28 17:12:47
Adaptateur réseau 1000 Mbps USB TYPE-C vers RJ45 Adaptateur Ethernet LAN Carte réseau 10/100/1000 Mbps pour ordinateur portable Macbook Windows,81.00 Dhs,150.00 Dhs,46%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/744166/1.jpg?1825,Jumia,2026-01-28 17:12:47
"STYLUS Stylos intelligent pour écran tactile, stylo Aluminium pour Tablettes, iPad, Téléphone et Ordinateur Portable",149.00 Dhs,305.00 Dhs,51%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/753346/1.jpg?3245,Jumia,2026-01-28 17:12:47
"Sacoche Sac PC Portable, Housse Ordinateur Portable + Support PC en cuir fin",180.00 Dhs,250.00 Dhs,28%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/989826/1.jpg?5065,Jumia,2026-01-28 17:12:47
"Jedel Haut Parleur Gamer Baffes Haut Parleurs Gaming RGB, USB Pour PC portable Ordinateur",75.00 Dhs,120.00 Dhs,38%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/892266/1.jpg?3025,Jumia,2026-01-28 17:12:47
