Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte
"Arctic Hunter sac à dos pour ordinateur portable 15,6 pouces pour les entreprises et pour l'école",299.00 Dhs,599.00 Dhs,50%,4.8 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/969556/1.jpg?9605,Jumia,2026-01-28 17:12:24
Handboss Bouteille 650ml Nettoyage Mousse universelle Agent spray PC Surface Cleaner,48.00 Dhs,75.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/383315/1.jpg?8558,Jumia,2026-01-28 17:12:25
"pack 2 étagères support écran pour stockage, étagère support pour ordinateur, tv, ...etc",74.00 Dhs,99.00 Dhs,25%,4.1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/513824/1.jpg?7234,Jumia,2026-01-28 17:12:25
Table Pliante Polyvalente pour Ordinateur Portable – Bureau de Lit en Bois MDF avec Fente pour Tablette et Porte-Gobelet,109.99 Dhs,150.00 Dhs,27%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/746276/1.jpg?0163,Jumia,2026-01-28 17:12:25
"Chargeur 100w 5V/3A ,9V/3A, 15V/3A et 20V/5A Type-c Adaptateur secteur pour ordinateurs portables ASUS ROG, ZenBook, Lenovo ThinkPad, Acer Nitro, HP Spectre, MSI, MacBook, iPad, et bien plus",261.00 Dhs,550.00 Dhs,53%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/168966/1.jpg?0168,Jumia,2026-01-28 17:12:25
Logitech Souris Bluetooth sans fil ? Compacte et portable ? Blanche,179.00 Dhs,286.00 Dhs,37%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/869256/1.jpg?3215,Jumia,2026-01-28 17:12:25
Tapis de souris Repose-poignet souple pour ordinateur de bureau,39.00 Dhs,75.00 Dhs,48%,4.2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/346163/1.jpg?1195,Jumia,2026-01-28 17:12:25
V8S Audio USB carte son externe mélangeur de son en direct divertissement personnel Streamer diffusion en direct pour PC téléphone ordinateur,170.00 Dhs,300.00 Dhs,43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/983566/1.jpg?8732,Jumia,2026-01-28 17:12:25
"Edup USB Wifi Sans Fil Adaptateur Wifi Récepteur Ethernet Carte Pour PC Ordinateur - transmission 2,4 G jusqu'à 150 Mbps",50.00 Dhs,70.00 Dhs,29%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/107224/1.jpg?1793,Jumia,2026-01-28 17:12:25
Sac à Dos de Voyage d'Affaires – Grande Capacité et Imperméable pour ordinateur portable jusqu'à 17 pouces,329.00 Dhs,600.00 Dhs,45%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/439166/1.jpg?4465,Jumia,2026-01-28 17:12:25
Hp PC GAMER i5 6éme Gén - 16GB RAM - 256GB SSD / 500GB HDD - RADEON R5 430 2GB - remis à neuf,"1,649.00 Dhs","1,950.00 Dhs",15%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/773376/1.jpg?4824,Jumia,2026-01-28 17:12:25
"Table Pliable pour Ordinateur Portable en Alliage d’Aluminium – Bureau Multifonction Réglable à 360°, Plateau Ventilé avec Tablette Souris Amovible",139.00 Dhs,299.00 Dhs,54%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/441476/1.jpg?1956,Jumia,2026-01-28 17:12:25
"Caméra HD 1080p avec microphone intégré, pour ordinateur, appareil réseau, fonctionne avec trépied.",149.00 Dhs,400.00 Dhs,63%,4.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/741066/1.jpg?5183,Jumia,2026-01-28 17:12:33
"Haoxiang Sac à dos pour ordinateur, affaires loisirs, voyage, cartable étudiant port USB",179.00 Dhs,289.00 Dhs,38%,4.2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/702946/1.jpg?4944,Jumia,2026-01-28 17:12:33
GAMER STORE coussin de refroidissement pour ordinateur portable gaming RGB S500,349.00 Dhs,549.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/249656/1.jpg?3066,Jumia,2026-01-28 17:12:33
Chargeur adaptable pour ASUS 19V 3.42A Ordinateur Portable,199.00 Dhs,399.00 Dhs,50%,4.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/186525/1.jpg?1835,Jumia,2026-01-28 17:12:33
Cooling Pad yellow Support Cooler ventilateur de refroidissement ordinateur portable,155.00 Dhs,220.00 Dhs,30%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/677076/1.jpg?3123,Jumia,2026-01-28 17:12:33
Chargeur pour Lenovo Legion 230W 20V 11.5A – Adaptateur Secteur Haute Puissance pour Ordinateurs Portables,426.00 Dhs,850.00 Dhs,50%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/658966/1.jpg?5884,Jumia,2026-01-28 17:12:34
Led pocket video light rotatif mini selfie ring light ay 83 pour smartphone ordinateur etc,139.00 Dhs,189.00 Dhs,26%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/206956/1.jpg?9587,Jumia,2026-01-28 17:12:34
"Table Plateau pliable pour PC portable, Support Table Bureau de lit d'ordinateur Portable",129.00 Dhs,200.00 Dhs,36%,4.8 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/244126/1.jpg?8807,Jumia,2026-01-28 17:12:34
Chargeur universel pour ordinateur portable 120 W - Compatibilite 12 V-24 V,129.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/483176/1.jpg?2063,Jumia,2026-01-28 17:12:34
Housse PC Portable Sacoche Sac PC Portable Ordinateur + Support PC - En cuir PU,180.00 Dhs,220.00 Dhs,18%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/609866/1.jpg?0637,Jumia,2026-01-28 17:12:34
"Sac à dos Cartable de luxe – Étanche, grande capacité et élégant – Idéal pour ordinateur portable, travail, école et voyage",420.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/170376/1.jpg?1401,Jumia,2026-01-28 17:12:34
"Sacoche pour PC portable 13 pouce, Cartable d'affaire, voyage, bag ordinateur",117.00 Dhs,169.00 Dhs,31%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/572356/1.jpg?3487,Jumia,2026-01-28 17:12:34
Hp Pack PC Bureau Complet – Core i5 4éme - 8Go RAM - 128Go SSD - Écran 19” - Remis à Neuf,"1,349.00 Dhs","1,700.00 Dhs",21%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/855176/1.jpg?7043,Jumia,2026-01-28 17:12:34
"DELL Pc OPTIPLEX 3040 CORE i5-6500 3,2Ghz 6éme Génération 8Go 256Go SSD - HDMI -Remis à neuf","1,990.00 Dhs",,,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/539656/1.jpg?0867,Jumia,2026-01-28 17:12:34
"Haoxiang backpack ordinateur, business loisirs, voyage, cartable étudiant avec port USB",177.00 Dhs,349.00 Dhs,49%,3.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/097326/1.jpg?5047,Jumia,2026-01-28 17:12:34
"Chargeur HP pour ordinateur portable,Alimentation:19,5V 3,33A≃2,31A",120.00 Dhs,299.00 Dhs,60%,2.8 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/877083/1.jpg?6155,Jumia,2026-01-28 17:12:34
"Lecteur de carte de Type C 3 en 1, lecteur de carte mémoire Micro SD TF, adaptateur de disque U externe pour iPhone série 15, ordinateur portable, tablette, convertisseur OTG",79.00 Dhs,199.00 Dhs,60%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/870176/1.jpg?0723,Jumia,2026-01-28 17:12:34
"Sac à main pochette, Sacoche pour pc 14 pouces, sac Housses Ordinateur d'affaire",79.00 Dhs,129.00 Dhs,39%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/922156/1.jpg?2852,Jumia,2026-01-28 17:12:35
"Lenovo PC Portable Thinkpad V15 G2 IJL - Écran 15.6"" - Core Intel 11ème Génération - RAM 8GB - 256 SSD - AZERTY - Garantie 6 mois - Remis à Neuf","2,489.00 Dhs","4,399.00 Dhs",43%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/879176/1.jpg?2218,Jumia,2026-01-28 17:12:35
Lampe de lecture pour ordinateur portable avec lampe USB,29.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/319736/1.jpg?1404,Jumia,2026-01-28 17:12:35
"Logitech M171 Souris Sans Fil pour PC, Mac, Ordinateur portable, 2,4 GHz avec Mini-récepteur USB, Suivi Optique, Autonomie de Piles de 12 mois, Ambidextre - Rose",99.00 Dhs,132.00 Dhs,25%,4.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/605756/1.jpg?9647,Jumia,2026-01-28 17:12:35
"Cartable Sac à Dos pour PC Portable Ordinateur, Multi Poches,USB Telephone -Noir",149.00 Dhs,298.00 Dhs,50%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/307585/1.jpg?0325,Jumia,2026-01-28 17:12:35
"Mini concentrateur USB Type C,adaptateur 4 ports,répartiteur multiple,station d'accueil 4 en 1, ultra fin,aluminium Smile Speed,ordinateur portable,PC",45.00 Dhs,"1,000.00 Dhs",96%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/950466/1.jpg?3101,Jumia,2026-01-28 17:12:35
Support d'écran d'ordinateur en bois avec 2 Tiroirs,329.00 Dhs,499.00 Dhs,34%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/012206/1.jpg?0852,Jumia,2026-01-28 17:12:35
Souris Bluetooth 2.4G USB Sans Fil Lumineux Rechargeable pour Tablette Téléphone Ordinateur,99.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/901376/1.jpg?7402,Jumia,2026-01-28 17:12:35
"Table support DaoRier pour ordinateur portable dans la voiture, pliable",179.00 Dhs,349.00 Dhs,49%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/311382/1.jpg?4411,Jumia,2026-01-28 17:12:35
"Hp Écran PC 20"" LED à cristaux LA2006X (VGA-DisplayPort-DVI-USB) - Remis à Neuf",750.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/873276/1.jpg?1863,Jumia,2026-01-28 17:12:35
ESSAGER USB carte son externe 3.5mm USB adaptateur écouteur microphone haut-parleur Interface Audio pour PC PS4 ordinateur portable carte son,119.00 Dhs,299.00 Dhs,60%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/219266/1.jpg?3405,Jumia,2026-01-28 17:12:36
Samsung RAM 16GB DDR4 PC4-21300 DDR4-2666 MHz Pour Ordinateur Portable Mémoire Vive RAM,520.00 Dhs,850.00 Dhs,39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/065936/1.jpg?7846,Jumia,2026-01-28 17:12:36
Table de Bureau Portable pour Ordinateur avec Porte-Boisson pour lit et Voyage,199.00 Dhs,230.00 Dhs,13%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/215456/1.jpg?4383,Jumia,2026-01-28 17:12:36
